Inumber,Course,Professor,Type,Class,StudentType,duration,Date,Status
258776,MATH 101,Elizabeth E. Crisp,DropIn,Freshman,OnCampus,60,3/30/2018 14:03,Check In
258776,MATH 101,Elizabeth E. Crisp,OneToOne,Freshman,OnCampus,30,3/30/2018 12:00,Cancelled
258776,MATH 101,Elizabeth E. Crisp,OneToOne,Freshman,OnCampus,30,3/23/2018 12:00,Cancelled
258776,MATH 101,Elizabeth E. Crisp,DropIn,Freshman,OnCampus,60,3/22/2018 14:09,Attended
258776,,,DropIn,Freshman,OnCampus,108.99,3/21/2018 18:49,Attended
258776,,,DropIn,Freshman,OnCampus,68.48,3/16/2018 13:03,Attended
258776,MATH 101,Elizabeth E. Crisp,DropIn,Freshman,OnCampus,48.93,2/5/2018 11:38,Attended
258776,MATH 101,Elizabeth E. Crisp,OneToOne,Freshman,OnCampus,30,3/16/2018 12:00,Cancelled
258776,MATH 101,Elizabeth E. Crisp,OneToOne,Freshman,OnCampus,30,3/9/2018 12:00,Cancelled
258776,MATH 101,Elizabeth E. Crisp,DropIn,Freshman,OnCampus,38.58,1/26/2018 13:47,Attended
258776,MATH 101,Elizabeth E. Crisp,OneToOne,Freshman,OnCampus,30,3/2/2018 12:00,Cancelled
258776,MATH 101,Elizabeth E. Crisp,OneToOne,Freshman,OnCampus,30,2/23/2018 12:00,Cancelled
258776,MATH 101,Elizabeth E. Crisp,OneToOne,Freshman,OnCampus,30,2/16/2018 12:00,Cancelled
258776,MATH 101,Elizabeth E. Crisp,OneToOne,Freshman,OnCampus,30,2/9/2018 12:00,Cancelled
258776,MATH 101,Elizabeth E. Crisp,DropIn,Freshman,OnCampus,56.3,1/25/2018 10:30,Attended
922444,FDMAT108,Serena Dawn Roundy,DropIn,Freshman,OnCampus,6.73,3/19/2018 17:58,Attended
258776,MATH 101,Elizabeth E. Crisp,OneToOne,Freshman,OnCampus,30,2/2/2018 12:00,Cancelled
922444,FDMAT108,Serena Dawn Roundy,DropIn,Freshman,OnCampus,41.75,2/9/2018 10:12,Attended
258776,MATH 101,Elizabeth E. Crisp,OneToOne,Freshman,OnCampus,30,1/26/2018 12:00,Cancelled
258776,MATH 101,Elizabeth E. Crisp,OneToOne,Freshman,OnCampus,60,1/26/2018 11:30,Cancelled
1503784,MATH 100B,Stephan J. O'Shaughnessy,DropIn,Freshman,OnCampus,13.92,3/28/2018 13:44,Attended
1503784,MATH 100B,Stephan J. O'Shaughnessy,DropIn,Freshman,OnCampus,11.44,3/26/2018 13:47,Attended
1503784,MATH 100B,Stephan J. O'Shaughnessy,DropIn,Freshman,OnCampus,34.97,3/23/2018 13:46,Attended
656129,FDMAT108,Rachael W. Colman,OneToOne,Sophomore,Online,60,3/8/2018 17:00,Cancelled
1503784,MATH 100B,Stephan J. O'Shaughnessy,DropIn,Freshman,OnCampus,21.86,3/16/2018 13:46,Attended
1503784,,,DropIn,Freshman,OnCampus,30.75,3/12/2018 12:14,Attended
656129,FDMAT108,Rachael W. Colman,OneToOne,Sophomore,Online,60,2/3/2018 12:00,Cancelled
1503784,MATH 100B,Stephan J. O'Shaughnessy,DropIn,Freshman,OnCampus,41.38,3/5/2018 11:47,Attended
1503784,MATH 100B,Stephan J. O'Shaughnessy,DropIn,Freshman,OnCampus,21.61,2/23/2018 14:42,Attended
1503784,MATH 100B,Stephan J. O'Shaughnessy,DropIn,Freshman,OnCampus,30.29,2/22/2018 17:01,Attended
1503784,MATH 100B,Stephan J. O'Shaughnessy,DropIn,Freshman,OnCampus,33.5,2/14/2018 12:05,Attended
1503784,MATH 100B,Stephan J. O'Shaughnessy,DropIn,Freshman,OnCampus,37.38,2/12/2018 11:53,Attended
656129,FDMAT108,Rachael W. Colman,OneToOne,Sophomore,Online,60,1/23/2018 14:00,Cancelled
896812,MATH 221B,David W. Stohel,Group,Sophomore,OnCampus,60,3/14/2018 15:00,Cancelled
1503784,,,DropIn,Freshman,OnCampus,24.21,2/5/2018 11:34,Attended
1503784,MATH 100B,Stephan J. O'Shaughnessy,DropIn,Freshman,OnCampus,17.01,2/2/2018 12:25,Attended
922444,FDMAT108,Serena Dawn Roundy,OneToOne,Freshman,OnCampus,60,2/9/2018 10:00,Cancelled
1503784,MATH 100B,Stephan J. O'Shaughnessy,DropIn,Freshman,OnCampus,16.69,1/29/2018 13:49,Attended
1503784,MATH 100B,Stephan J. O'Shaughnessy,DropIn,Freshman,OnCampus,14.61,1/26/2018 13:46,Attended
1503784,,,DropIn,Freshman,OnCampus,29.77,1/24/2018 9:06,Attended
1503784,MATH 100B,Stephan J. O'Shaughnessy,DropIn,Freshman,OnCampus,30.23,1/19/2018 13:48,Attended
1503784,MATH 100B,Stephan J. O'Shaughnessy,DropIn,Freshman,OnCampus,26.84,1/17/2018 13:50,Attended
1503784,,,DropIn,Freshman,OnCampus,22.11,1/12/2018 13:52,Attended
2279853,MATH 100B,Ralph M. Kern,DropIn,Freshman,OnCampus,120.43,3/30/2018 11:46,Attended
2279853,MATH 100B,Ralph M. Kern,DropIn,Freshman,OnCampus,26.27,3/28/2018 13:31,Attended
2279853,MATH 100B,Ralph M. Kern,DropIn,Freshman,OnCampus,44.44,3/21/2018 13:16,Attended
2279853,MATH 100B,Ralph M. Kern,DropIn,Freshman,OnCampus,149.69,3/16/2018 11:30,Attended
2279853,MATH 100B,Ralph M. Kern,DropIn,Freshman,OnCampus,0.08,3/14/2018 14:02,Attended
2279853,MATH 100B,Ralph M. Kern,DropIn,Freshman,OnCampus,37.66,3/14/2018 13:25,Attended
2279853,MATH 100B,Ralph M. Kern,DropIn,Freshman,OnCampus,59.29,3/9/2018 13:01,Attended
2279853,MATH 100B,Ralph M. Kern,DropIn,Freshman,OnCampus,71.35,3/9/2018 11:19,Attended
2279853,MATH 100B,Ralph M. Kern,DropIn,Freshman,OnCampus,34.68,3/2/2018 13:19,Attended
2279853,MATH 100B,Ralph M. Kern,DropIn,Freshman,OnCampus,102.03,3/2/2018 11:23,Attended
2279853,MATH 100B,Ralph M. Kern,DropIn,Freshman,OnCampus,49.45,2/28/2018 13:10,Attended
2279853,MATH 100B,Ralph M. Kern,DropIn,Freshman,OnCampus,58.94,2/21/2018 12:58,Attended
2279853,MATH 100B,Ralph M. Kern,DropIn,Freshman,OnCampus,83.65,2/16/2018 12:53,Attended
2279853,MATH 100B,Ralph M. Kern,DropIn,Freshman,OnCampus,37.95,2/14/2018 13:19,Attended
2279853,MATH 100B,Ralph M. Kern,DropIn,Freshman,OnCampus,66.16,2/9/2018 12:26,Attended
2279853,MATH 100B,Ralph M. Kern,DropIn,Freshman,OnCampus,6.28,2/7/2018 15:00,Attended
2279853,MATH 100B,Ralph M. Kern,DropIn,Freshman,OnCampus,20.76,2/7/2018 13:36,Attended
2279853,MATH 100B,Ralph M. Kern,DropIn,Freshman,OnCampus,66.34,2/2/2018 12:42,Attended
2279853,MATH 100B,Ralph M. Kern,DropIn,Freshman,OnCampus,28.16,1/31/2018 13:28,Attended
2279853,MATH 100B,Ralph M. Kern,DropIn,Freshman,OnCampus,104.98,1/31/2018 9:01,Attended
2279853,MATH 100B,Ralph M. Kern,DropIn,Freshman,OnCampus,60,1/26/2018 15:15,Attended
2279853,MATH 100B,Ralph M. Kern,DropIn,Freshman,OnCampus,10.63,1/26/2018 15:00,Attended
2279853,MATH 100B,Ralph M. Kern,DropIn,Freshman,OnCampus,56.41,1/26/2018 13:01,Attended
2279853,MATH 100B,Ralph M. Kern,DropIn,Freshman,OnCampus,56.38,1/19/2018 12:53,Attended
2279853,MATH 100B,Ralph M. Kern,DropIn,Freshman,OnCampus,40.94,1/17/2018 13:16,Attended
2279853,MATH 100B,Ralph M. Kern,DropIn,Freshman,OnCampus,62.99,1/10/2018 15:08,Attended
2279853,MATH 100B,Ralph M. Kern,DropIn,Freshman,OnCampus,0.1,1/10/2018 13:51,Attended
2279853,MATH 100B,Ralph M. Kern,DropIn,Freshman,OnCampus,21.47,1/10/2018 13:30,Attended
2279853,MATH 100B,Ralph M. Kern,DropIn,Freshman,OnCampus,35.72,1/8/2018 15:04,Attended
3912170,FDMAT108,Jennifer Dawson Baxter,DropIn,Freshman,OnCampus,60,3/1/2018 10:13,Check In
3912170,,,DropIn,Freshman,OnCampus,60,2/27/2018 11:04,Attended
3912170,FDMAT108,Jennifer Dawson Baxter,DropIn,Freshman,OnCampus,47.26,2/27/2018 10:15,Attended
3912170,FDMAT108,Jennifer Dawson Baxter,DropIn,Freshman,OnCampus,114.9,2/26/2018 15:07,Attended
3912170,FDMAT108,Jennifer Dawson Baxter,DropIn,Freshman,OnCampus,42.05,2/17/2018 12:07,Attended
3912170,FDMAT108,Jennifer Dawson Baxter,DropIn,Freshman,OnCampus,105.95,2/5/2018 13:49,Attended
4861012,,,DropIn,Senior,OnCampus,60,1/12/2018 12:37,Check In
5164955,MATH 221C,Lance E. Milner,DropIn,Junior,Online,103.77,3/29/2018 9:38,Attended
5164955,MATH 221C,Lance E. Milner,DropIn,Junior,Online,229.59,3/19/2018 9:06,Attended
5164955,MATH 221C,Lance E. Milner,DropIn,Junior,Online,53.29,3/15/2018 9:28,Attended
5164955,MATH 221C,Lance E. Milner,DropIn,Junior,Online,87.63,3/8/2018 8:49,Attended
5164955,MATH 221C,Lance E. Milner,DropIn,Junior,Online,75.82,2/22/2018 11:23,Attended
5164955,MATH 221C,Lance E. Milner,DropIn,Junior,Online,0.21,2/22/2018 11:23,Attended
5164955,,,DropIn,Junior,Online,60,1/29/2018 15:55,Attended
5164955,MATH 221C,Lance E. Milner,DropIn,Junior,Online,111.95,1/29/2018 14:02,Attended
5877350,MATH 100B,Richard C. Llewellyn,DropIn,Sophomore,OnCampus,11.41,3/28/2018 12:44,Attended
5877350,MATH 100B,Richard C. Llewellyn,DropIn,Sophomore,OnCampus,12.71,3/23/2018 12:34,Attended
5877350,MATH 100B,Richard C. Llewellyn,DropIn,Sophomore,OnCampus,61.94,3/22/2018 9:14,Attended
5877350,MATH 100B,Richard C. Llewellyn,DropIn,Sophomore,OnCampus,73.28,3/16/2018 10:06,Attended
5877350,FDAMF101,Kirse G. May,DropIn,Sophomore,OnCampus,60,3/12/2018 13:04,Attended
5877350,MATH 100B,Richard C. Llewellyn,DropIn,Sophomore,OnCampus,23.93,3/12/2018 12:38,Attended
5877350,MATH 100B,Richard C. Llewellyn,DropIn,Sophomore,OnCampus,60,3/7/2018 13:16,Attended
5877350,MATH 100B,Richard C. Llewellyn,DropIn,Sophomore,OnCampus,25.19,3/7/2018 12:31,Attended
5877350,MATH 100B,Richard C. Llewellyn,DropIn,Sophomore,OnCampus,20.23,3/5/2018 12:35,Attended
5877350,MATH 100B,Richard C. Llewellyn,DropIn,Sophomore,OnCampus,16.07,3/2/2018 12:39,Attended
5877350,MATH 100B,Richard C. Llewellyn,DropIn,Sophomore,OnCampus,40.62,3/1/2018 10:28,Attended
5877350,MATH 100B,Richard C. Llewellyn,DropIn,Sophomore,OnCampus,27.31,2/23/2018 14:26,Attended
5877350,MATH 100B,Richard C. Llewellyn,DropIn,Sophomore,OnCampus,85.09,2/22/2018 10:25,Attended
5877350,MATH 100B,Richard C. Llewellyn,DropIn,Sophomore,OnCampus,69.06,2/16/2018 10:08,Attended
5877350,MATH 100B,Richard C. Llewellyn,DropIn,Sophomore,OnCampus,47.06,2/15/2018 11:03,Attended
5877350,MATH 100B,Richard C. Llewellyn,DropIn,Sophomore,OnCampus,34.15,2/7/2018 13:27,Attended
5877350,MATH 100B,Richard C. Llewellyn,DropIn,Sophomore,OnCampus,60,2/5/2018 10:04,Attended
5877350,MATH 100B,Richard C. Llewellyn,DropIn,Sophomore,OnCampus,69.07,2/5/2018 8:54,Attended
5877350,MATH 100B,Richard C. Llewellyn,DropIn,Sophomore,OnCampus,43.37,2/2/2018 12:47,Attended
5877350,MATH 100B,Richard C. Llewellyn,DropIn,Sophomore,OnCampus,58.48,1/31/2018 12:35,Attended
6891264,MATH 110X,Serena Dawn Roundy,DropIn,Freshman,OnCampus,1.57,2/21/2018 10:22,Attended
6891264,MATH 110X,Serena Dawn Roundy,DropIn,Freshman,OnCampus,73.5,1/29/2018 8:54,Attended
6891264,MATH 110X,Serena Dawn Roundy,DropIn,Freshman,OnCampus,0.07,1/29/2018 8:54,Attended
7093600,,,DropIn,Junior,OnCampus,35.92,1/9/2018 18:04,Attended
7093600,,,DropIn,Junior,OnCampus,50.11,1/9/2018 17:13,Attended
7093600,,,DropIn,Junior,OnCampus,23.12,1/9/2018 16:47,Attended
9298403,FDMAT112,Susan Marla Orme,DropIn,Sophomore,OnCampus,60,1/11/2018 10:01,Check In
9888976,FDMAT108,Curtis G. Nelson,DropIn,Freshman,OnCampus,60,2/8/2018 16:00,Check In
10610308,MATH 109,Richard J. Nygaard,DropIn,Freshman,OnCampus,60,2/15/2018 8:43,Check In
12483999,MATH 100B,Stephan J. O'Shaughnessy,DropIn,Freshman,OnCampus,22.83,3/28/2018 8:57,Attended
12483999,MATH 100B,Stephan J. O'Shaughnessy,DropIn,Freshman,OnCampus,41.76,3/26/2018 8:52,Attended
12483999,MATH 100B,Stephan J. O'Shaughnessy,DropIn,Freshman,OnCampus,27.01,3/23/2018 9:05,Attended
12483999,MATH 100B,Stephan J. O'Shaughnessy,DropIn,Freshman,OnCampus,22.17,3/19/2018 9:27,Attended
12483999,MATH 100B,Stephan J. O'Shaughnessy,DropIn,Freshman,OnCampus,47.27,3/14/2018 8:59,Attended
12483999,MATH 100B,Stephan J. O'Shaughnessy,DropIn,Freshman,OnCampus,11.03,3/12/2018 9:00,Attended
12483999,MATH 100B,Stephan J. O'Shaughnessy,DropIn,Freshman,OnCampus,21.46,3/9/2018 8:51,Attended
12483999,MATH 100B,Stephan J. O'Shaughnessy,DropIn,Freshman,OnCampus,15.72,3/8/2018 17:05,Attended
12483999,MATH 100B,Stephan J. O'Shaughnessy,DropIn,Freshman,OnCampus,17.68,3/2/2018 13:50,Attended
12483999,MATH 100B,Stephan J. O'Shaughnessy,DropIn,Freshman,OnCampus,22.66,3/2/2018 12:19,Attended
12483999,MATH 100B,Stephan J. O'Shaughnessy,DropIn,Freshman,OnCampus,61.05,2/28/2018 9:05,Attended
12483999,MATH 100B,Stephan J. O'Shaughnessy,DropIn,Freshman,OnCampus,14.39,2/23/2018 13:48,Attended
12483999,MATH 100B,Stephan J. O'Shaughnessy,DropIn,Freshman,OnCampus,14.71,2/23/2018 13:48,Attended
12483999,MATH 100B,Stephan J. O'Shaughnessy,DropIn,Freshman,OnCampus,51.88,2/21/2018 9:10,Attended
12483999,MATH 100B,Stephan J. O'Shaughnessy,DropIn,Freshman,OnCampus,35.09,2/16/2018 8:48,Attended
12483999,MATH 100B,Stephan J. O'Shaughnessy,DropIn,Freshman,OnCampus,19.69,2/12/2018 9:22,Attended
12483999,MATH 100B,Stephan J. O'Shaughnessy,DropIn,Freshman,OnCampus,8.36,2/9/2018 9:04,Attended
12483999,MATH 100B,Stephan J. O'Shaughnessy,DropIn,Freshman,OnCampus,40.59,2/6/2018 15:39,Attended
12483999,MATH 100B,Stephan J. O'Shaughnessy,DropIn,Freshman,OnCampus,27.84,1/31/2018 13:48,Attended
12483999,MATH 100B,Stephan J. O'Shaughnessy,DropIn,Freshman,OnCampus,25.21,1/29/2018 13:49,Attended
12483999,MATH 100B,Stephan J. O'Shaughnessy,DropIn,Freshman,OnCampus,74.55,1/25/2018 15:56,Attended
12483999,MATH 100B,Stephan J. O'Shaughnessy,DropIn,Freshman,OnCampus,38.31,1/22/2018 9:04,Attended
12483999,MATH 100B,Stephan J. O'Shaughnessy,DropIn,Freshman,OnCampus,28.51,1/17/2018 13:49,Attended
12483999,MATH 100B,Stephan J. O'Shaughnessy,DropIn,Freshman,OnCampus,29.05,1/17/2018 9:04,Attended
6661377,MATH 110X,Matthew J. Lewis,OneToOne,Senior,OnCampus,60,3/8/2018 16:30,Cancelled
12483999,MATH 100B,Stephan J. O'Shaughnessy,DropIn,Freshman,OnCampus,32.96,1/10/2018 13:49,Attended
6891264,MATH 110X,Serena Dawn Roundy,OneToOne,Freshman,OnCampus,60,3/30/2018 12:45,Cancelled
6891264,MATH 110X,Serena Dawn Roundy,OneToOne,Freshman,OnCampus,60,3/23/2018 12:45,Cancelled
6891264,MATH 110X,Serena Dawn Roundy,OneToOne,Freshman,OnCampus,60,3/16/2018 12:45,Cancelled
6891264,MATH 110X,Serena Dawn Roundy,OneToOne,Freshman,OnCampus,60,3/9/2018 12:45,Cancelled
6891264,MATH 110X,Serena Dawn Roundy,OneToOne,Freshman,OnCampus,60,3/2/2018 12:45,Cancelled
6891264,MATH 110X,Serena Dawn Roundy,OneToOne,Freshman,OnCampus,0.57,2/23/2018 12:45,Cancelled
12547042,MATH 100B,Ralph M. Kern,DropIn,Freshman,OnCampus,217.67,3/28/2018 9:59,Attended
12547042,MATH 100B,Ralph M. Kern,DropIn,Freshman,OnCampus,26.02,3/27/2018 15:07,Attended
12547042,MATH 100B,Ralph M. Kern,DropIn,Freshman,OnCampus,45.89,3/27/2018 12:34,Attended
12547042,MATH 100B,Ralph M. Kern,DropIn,Freshman,OnCampus,60,3/26/2018 11:54,Attended
12547042,MATH 100B,Ralph M. Kern,DropIn,Freshman,OnCampus,236.26,3/23/2018 11:59,Attended
12547042,MATH 100B,Ralph M. Kern,DropIn,Freshman,OnCampus,131.65,3/19/2018 11:59,Attended
12547042,MATH 100B,Ralph M. Kern,DropIn,Freshman,OnCampus,25.3,3/16/2018 13:19,Attended
8554783,FDMAT108,Rachael W. Colman,OneToOne,Senior,OnCampus,60,2/10/2018 10:00,Cancelled
8554783,FDMAT108,Rachael W. Colman,OneToOne,Senior,OnCampus,60,2/3/2018 10:00,Cancelled
12547042,MATH 100B,Ralph M. Kern,DropIn,Freshman,OnCampus,38.58,3/15/2018 12:52,Attended
12547042,MATH 100B,Ralph M. Kern,DropIn,Freshman,OnCampus,182.26,3/14/2018 11:00,Attended
12547042,MATH 100B,Ralph M. Kern,DropIn,Freshman,OnCampus,77.5,3/10/2018 13:18,Attended
12547042,MATH 100B,Ralph M. Kern,DropIn,Freshman,OnCampus,60,3/9/2018 10:46,Attended
8955536,MATH 110X,Andrew George Newey,OneToOne,Freshman,OnCampus,60,3/8/2018 20:00,Cancelled
8955536,MATH 110X,Andrew George Newey,OneToOne,Freshman,OnCampus,60,3/8/2018 19:00,Cancelled
12547042,MATH 100B,Ralph M. Kern,DropIn,Freshman,OnCampus,194.2,3/5/2018 10:43,Attended
8955536,MATH 110X,Andrew George Newey,OneToOne,Freshman,OnCampus,60,2/1/2018 14:00,Cancelled
8955536,MATH 110X,Andrew George Newey,OneToOne,Freshman,OnCampus,45,1/30/2018 18:15,Cancelled
12547042,MATH 100B,Ralph M. Kern,DropIn,Freshman,OnCampus,191.07,2/28/2018 10:51,Attended
12547042,MATH 100B,Ralph M. Kern,DropIn,Freshman,OnCampus,56.94,2/27/2018 15:29,Attended
12547042,MATH 100B,Ralph M. Kern,DropIn,Freshman,OnCampus,258.84,2/27/2018 11:10,Attended
12547042,MATH 100B,Ralph M. Kern,DropIn,Freshman,OnCampus,0.04,2/27/2018 9:56,Attended
12547042,MATH 100B,Ralph M. Kern,DropIn,Freshman,OnCampus,21.12,2/27/2018 9:20,Attended
8955536,MATH 110X,Andrew George Newey,OneToOne,Freshman,OnCampus,60,1/18/2018 16:30,Cancelled
12547042,MATH 100B,Ralph M. Kern,DropIn,Freshman,OnCampus,60,2/26/2018 17:45,Attended
9298403,FDMAT112,Susan Marla Orme,OneToOne,Sophomore,OnCampus,60,3/29/2018 16:00,Cancelled
9298403,FDMAT112,Susan Marla Orme,OneToOne,Sophomore,OnCampus,60,3/29/2018 9:00,Cancelled
12547042,MATH 100B,Ralph M. Kern,DropIn,Freshman,OnCampus,66.96,2/26/2018 10:06,Attended
12547042,MATH 100B,Ralph M. Kern,DropIn,Freshman,OnCampus,66.72,2/23/2018 13:07,Attended
12547042,MATH 100B,Ralph M. Kern,DropIn,Freshman,OnCampus,122.15,2/21/2018 11:51,Attended
12547042,MATH 100B,Ralph M. Kern,DropIn,Freshman,OnCampus,214.19,2/20/2018 10:01,Attended
9298403,FDMAT112,Susan Marla Orme,OneToOne,Sophomore,OnCampus,60,3/16/2018 15:00,Cancelled
12547042,MATH 100B,Ralph M. Kern,DropIn,Freshman,OnCampus,60,2/19/2018 12:57,Attended
9298403,FDMAT112,Susan Marla Orme,OneToOne,Sophomore,OnCampus,60,3/12/2018 15:00,Cancelled
12547042,MATH 100B,Ralph M. Kern,DropIn,Freshman,OnCampus,193.73,2/16/2018 10:11,Attended
12547042,MATH 100B,Ralph M. Kern,DropIn,Freshman,OnCampus,183.01,2/15/2018 15:46,Attended
9298403,FDMAT112,Susan Marla Orme,OneToOne,Sophomore,OnCampus,60,3/3/2018 11:00,Cancelled
9298403,FDMAT112,Susan Marla Orme,OneToOne,Sophomore,OnCampus,60,3/3/2018 10:00,Cancelled
12547042,FDAMF101,Hyrum Smith Lewis,DropIn,Freshman,OnCampus,60,2/14/2018 12:39,Attended
12547042,MATH 100B,Ralph M. Kern,DropIn,Freshman,OnCampus,192.74,2/14/2018 9:26,Attended
9298403,FDMAT112,Susan Marla Orme,Group,Sophomore,OnCampus,60,2/22/2018 17:00,Cancelled
9298403,FDMAT112,Susan Marla Orme,Group,Sophomore,OnCampus,60,2/22/2018 17:00,Cancelled
12547042,MATH 100B,Ralph M. Kern,DropIn,Freshman,OnCampus,167.66,2/13/2018 17:51,Attended
12547042,MATH 100B,Ralph M. Kern,DropIn,Freshman,OnCampus,112.84,2/12/2018 11:46,Attended
12547042,MATH 100B,Ralph M. Kern,DropIn,Freshman,OnCampus,64.18,2/9/2018 10:20,Attended
12547042,MATH 100B,Ralph M. Kern,DropIn,Freshman,OnCampus,153.07,2/8/2018 19:13,Attended
