"IN","av","count"
294,63.04,7
1620,24.24,2
97,25.4761111111111,18
231,52.1803448275862,29
573,71.6933333333333,6
781,60,1
833,90.2825,8
976,44.9485,20
1187,25.0466666666667,3
1228,36.3833333333333,3
1632,60,1
1737,60,1
12,60,1
52,30.0712,25
53,113.912653061224,49
61,25.4522222222222,9
69,60,2
82,41.36,3
107,168.61,1
111,60,1
122,35.5472727272727,11
128,114.286458333333,48
138,42.22,3
139,112.02,18
141,78.315,2
143,68.1413043478261,23
145,136.25,1
157,41.4754545454545,11
159,21.4708333333333,12
161,20.585,2
169,67.455,2
204,6.94,1
206,0.065,2
223,146.484390243902,41
266,19.68,1
277,32.25,3
296,65.33,2
307,45.9695238095238,21
328,56.9785714285714,14
332,60,1
347,79.8353333333333,30
351,127.86,3
363,60,1
368,60,1
374,36.88,2
380,104.226,10
399,14.1605555555556,18
413,66.5085714285714,7
416,60.63,1
421,69.7125,4
427,44.2333333333333,24
453,62.0033333333333,3
454,47.49,1
480,60,1
485,59.8766666666667,3
498,66.66,1
503,48.064,5
509,59.4053333333333,15
538,40.11,3
539,107.066,5
551,84.0741666666667,12
559,115.33,1
560,20.05,2
574,34.946,5
582,50.9025,4
598,82.6233333333333,36
600,129.76,5
613,89.7075,4
617,57.0051724137931,29
631,82.9733333333333,3
639,10.41,1
640,38.85,4
643,33.21,1
659,59.7048717948718,39
681,76.114,15
690,93.32,1
692,54.88,1
693,88.4708695652174,23
699,75.065,4
701,32.3864,25
704,24.6417647058824,17
718,49.8481818181818,11
747,34.572,5
751,61.26,7
752,79.325,2
769,48.895,2
777,82.289,20
780,43.2,2
787,115.695,10
793,25.1364285714286,14
799,43.27,1
803,50.4816666666667,6
813,40.0233333333333,3
829,67.8233333333333,3
832,79.432962962963,27
856,62.133125,32
861,78.6125,4
866,74.9061290322581,31
868,133.296666666667,3
883,48.567,10
884,60,2
920,24.75,1
942,44.64,2
956,58.03,2
964,27.576,5
966,139.82,1
984,53.395,2
989,116.1375,4
994,3.64,2
1012,60,3
1022,19.2433333333333,3
1029,60,1
1049,84.1108333333333,12
1051,92.1622727272727,44
1058,84.5656756756757,37
1064,40.5215384615385,39
1067,60,1
1093,60,2
1104,60,1
1105,154.855,2
1111,120.97,4
1117,25.0238888888889,18
1121,75.76875,32
1142,48.0966666666667,3
1158,87.9486440677966,59
1159,51.682,5
1169,41.7542105263158,19
1178,62.1738636363636,44
1212,64.5008333333333,24
1224,31.1175,4
1238,91.454,5
1257,115.026111111111,18
1262,60,1
1303,82.02,1
1313,92.09,1
1315,172.13,1
1317,60,1
1339,104.58375,8
1359,86.1575,4
1361,115.240444444444,45
1362,51.295,2
1388,90.9,6
1398,52.6420833333333,24
1401,73.804,15
1403,60,1
1413,0.895,2
1418,77.0226086956522,23
1420,60,4
1426,90.7523809523809,21
1431,72.3136,25
1434,52.9196,25
1437,60,1
1439,59.304,10
1449,41.4966666666667,3
1450,0.04,1
1455,60,1
1459,27.8419047619048,21
1464,60.09,1
1480,82.50375,8
1488,60,1
1489,63.9483333333333,6
1504,168.03,1
1515,67.5686666666667,15
1542,60,1
1570,34.1807692307692,13
1582,134.17,4
1601,60,2
1610,57.3533333333333,12
1637,30.3,8
1655,53.8464,25
1657,36.3095652173913,23
1679,9.2075,24
1691,71.8369230769231,13
1725,60,2
1732,80.9665,20
1734,80.543,10
1736,57.41,3
1744,51.1722580645161,31
1746,136.12,1
1,67.0258823529412,17
2,76.631,10
3,64.31,2
4,64.135,8
5,62.1483333333333,18
6,49.0966666666667,9
7,43.6116666666667,6
8,60,1
9,71.0216666666667,6
10,15.38,1
11,52.957,10
13,46.9952173913044,23
14,37.6916666666667,12
15,71.1148275862069,29
16,37.73,1
17,41.29,1
18,34.04,2
19,66.06,1
20,93.24,17
21,63.9615384615385,13
22,77.9920833333333,24
23,66.9638461538461,13
24,57.278,10
25,52.93,2
26,60,1
27,60,1
28,92.49,5
29,38.6454545454545,11
30,24.3708,25
31,37.918,5
32,60,1
33,60,2
34,49.2866666666667,3
35,74.8014285714286,14
36,60,1
37,41.91,3
38,60.85,3
39,76.55,4
40,79.8666666666667,3
41,99.36,1
42,31.552,10
43,54.742380952381,21
44,95.3725,4
45,61.5570833333333,24
46,92.615,4
47,60,1
48,89.55,4
49,100.375,8
50,66.975,14
51,60,3
54,45.4536363636364,11
55,34.57,2
56,60,1
57,31.88,1
58,43.75,2
59,30.065,2
60,57.7728571428571,7
62,28.3238461538462,26
63,100.122222222222,9
64,56.59,5
65,91.3433333333333,3
66,67.305,4
67,48.96,1
68,125.665,2
70,53.5681818181818,11
71,66.475,2
72,60,1
73,78.6833333333333,39
74,60,1
75,23.42,3
76,63.506,5
77,82.00625,8
78,0.23,1
79,64.3233333333333,12
80,51.9866666666667,3
81,118.85,3
83,71.8,2
84,117.88,1
85,60,1
86,45.0475,4
87,95.02125,8
88,94.9875,4
89,71.765,12
90,49.5628571428571,14
91,127.469418604651,86
92,57.855,2
93,88.1975,4
94,56.62,2
95,22.1709523809524,21
96,52.1933333333333,3
98,60,1
99,80.46,1
100,133.91,3
101,55.2133333333333,3
102,86.6715384615385,13
103,55,7
104,107.17,3
105,25.0005,20
106,60,1
108,54.12,1
109,46.6375,4
110,137,1
112,24.8213333333333,15
113,60,1
114,58.8542857142857,14
115,63.148,5
116,46.5666666666667,3
117,30.095,2
118,28.0525,12
119,45.4028571428571,7
120,71.62375,8
121,70.736,10
123,40.0364705882353,17
124,83.2815789473684,19
125,60,1
126,162.966875,16
127,111.6,3
129,49.004,10
130,15.27,1
131,77.688,5
132,53.15,7
133,81.38,1
134,56.1033333333333,6
135,66.31625,8
136,86.67,1
137,60,1
140,114.43,2
142,30.09,2
144,63.63,1
146,55.6054545454545,22
147,76.96,19
148,60,2
149,36.05,3
150,105.633333333333,3
151,10.014,10
152,60,1
153,39.53,1
154,60,1
155,53.4411111111111,9
156,41.5866666666667,6
158,60,1
160,77.26,3
162,112.43,1
163,59.4525,4
164,62.0633333333333,3
165,46.8585714285714,7
166,30.7775,4
167,60,1
168,58.075,36
170,48.4225,16
171,42.4071428571429,7
172,52.525,8
173,60,1
174,102.64,7
175,8.18909090909091,11
176,80.98,1
177,27.55,3
178,103.528,5
179,35.8496551724138,29
180,23.425,2
181,68.9014285714286,7
182,60,2
183,85.2925,4
184,77.0007692307692,13
185,63.4,1
186,60,1
187,56.94,1
188,60,1
189,76.9088888888889,9
190,35.8525925925926,27
191,44.4153333333333,15
