Referral Source,Time,Total Referred Patients,Month
Direct Access,2013,160,All
"Roisum, Tony",2013,41,All
"Huntsman, Casey",2013,37,All
"Biddulph, Greg",2013,25,All
"Liljenquist, Joseph",2013,23,All
"The Pediatric, Center",2013,21,All
"Andary, John",2013,20,All
"Redd, Brigham",2013,20,All
"Cook, Brady",2013,17,All
"Harris, Michael",2013,16,All
"Administration, Veterans",2013,14,All
"Ward, Reed",2013,14,All
"Walker, Eric",2013,12,All
"Mason, Laura",2013,10,All
"McCowin, Philip",2013,10,All
"Machen, Shane",2013,8,All
"Community Family, Clinic",2013,7,All
"Garland, Erich",2013,7,All
"Johnson, Teresa",2013,7,All
"Mangrum, Shane",2013,7,All
"Stoddard, Bradley",2013,7,All
"Baker, Wallace",2013,6,All
"Browne, Family Practice PA",2013,6,All
"James, Michael",2013,6,All
"Lee, Robert",2013,6,All
"Altenburg, Aaron",2013,5,All
"Cach, Robert",2013,5,All
"Packer, Flint",2013,5,All
"Amiel, Terry",2013,4,All
"Avondet, Alan",2013,4,All
"Baker, Family Practice",2013,4,All
"Coughenour, Tiffany",2013,4,All
"Erikson, Brad",2013,4,All
"Griffiths, Stan",2013,4,All
"Marano, Stephen",2013,4,All
"Peterson, David",2013,4,All
"Taylor, Scott",2013,4,All
"Vance, Carl",2013,4,All
"Williams, Ryan",2013,4,All
"Allen, Clark",2013,3,All
"Allen, Travis",2013,3,All
"Bennett, Barry",2013,3,All
"Christensen, Kay",2013,3,All
"Christensen, Wade",2013,3,All
"Dalling, Jason",2013,3,All
"Garner, Benjamin",2013,3,All
"Gorman, Patrick",2013,3,All
"Idaho Falls, Clinic",2013,3,All
"Integrated Family, and Community Services",2013,3,All
"Kelly, Brandon",2013,3,All
"Klippert, Steven",2013,3,All
"Leverett, Margaret",2013,3,All
"Masse, Amber",2013,3,All
"Moss, Sheila",2013,3,All
"Nelson, Matthew",2013,3,All
"Perttula, Eric",2013,3,All
"Poston, Jason",2013,3,All
"Poulter, A Jake",2013,3,All
"Rencher, Family Practice",2013,3,All
"Rosemark Women, Care",2013,3,All
"Shelley Family, Medical Center",2013,3,All
"Southwick, Boyd",2013,3,All
"Thompson, Terry",2013,3,All
"Thurman, Timothy",2013,3,All
"Turpin, Lance",2013,3,All
"Walker, Gary",2013,3,All
"Young, Peggy",2013,3,All
"Andersen, Bryce",2013,2,All
"Beck, Ruth",2013,2,All
"Black, Timothy",2013,2,All
"Campbell, Derek",2013,2,All
"Christensen, David",2013,2,All
"Clinger, Steven",2013,2,All
"Cook, James",2013,2,All
"Curtis, Larry",2013,2,All
"Eder, William",2013,2,All
"Hammar, Bryan",2013,2,All
"Hart, Trenton",2013,2,All
"Hill, David",2013,2,All
"Idaho Falls, Pediatrics",2013,2,All
"Jones, Judy",2013,2,All
"Jost, Heidi",2013,2,All
"Kantack, Craig",2013,2,All
"Mangam, Martin",2013,2,All
"McKellar, Nathan",2013,2,All
"McLaughlin, Daniel",2013,2,All
"Montalbano, Paul",2013,2,All
"Newhouse, Kenneth",2013,2,All
"Payne, Matthew",2013,2,All
"Quinton, Tony",2013,2,All
"Ruiz-Gruwell, Anna",2013,2,All
"Saltzman, Charles",2013,2,All
"Sena, Gary",2013,2,All
"Simon, David",2013,2,All
"Southeast Idaho, Family Practice",2013,2,All
"Talcott, Bradford",2013,2,All
"Upper Valley, Family Medicine",2013,2,All
"Wagner, Margaret",2013,2,All
"Wallin, Heike",2013,2,All
"West, Gregory",2013,2,All
"Willardson, Jed",2013,2,All
"Adams, Rebecca",2013,1,All
"Adams, W David",2013,1,All
"Ammon Medical And, Urgent Care",2013,1,All
"Arbon, Ronald",2013,1,All
"Aughney, Jeffrey",2013,1,All
"Beals, Timothy",2013,1,All
"Blair, Benjamin",2013,1,All
"Blair, Victoria",2013,1,All
"Buys, David",2013,1,All
"Capener, Mark",2013,1,All
"Carroll, Kristen",2013,1,All
"Cedar Creek, Family Medicine",2013,1,All
